id_recensione,nome_vino,cantina,regione,denominazione,vitigno,annata,punteggio,fascia_punteggio,prezzo_usd,fascia_prezzo_usd,recensore,nota_degustazione,punti_per_dollaro
36,Conte Leopardi 2010 Fructus  (Rosso Conero),Conte Leopardi,Italia centrale,Rosso Conero,Montepulciano,2010,86,80-86 Buono,18.0,2. Da 15 a 24,Kerin O'Keefe,"Made entirely with Montepulciano, this opens with earthy aromas of tilled soil along with notes of black fruit and espresso. The linear palate delivers bright red cherry, notes of mocha and somewhat astringent tannins. Straightforward and simple, this should b",4.78
37,Conte Leopardi 2012 Castelverde  (Verdicchio dei Castelli di Jesi),Conte Leopardi,Italia centrale,Verdicchio dei Castelli di Jesi,Verdicchio,2012,87,87-89 Molto buono,19.0,2. Da 15 a 24,Kerin O'Keefe,"This opens with lemon, lime and tropical fruit aromas that carry over to the palate alongside flavors of yellow apples, citrus and peach. It's linear, with freshening acidity and a drying finish. Pair it with lightly seasoned seafood.",4.58
38,Costa Archi 2008 Monte Brullo  (Sangiovese di Romagna Superiore),Costa Archi,Italia centrale,Sangiovese di Romagna Superiore,Sangiovese,2008,83,80-86 Buono,32.0,3. Da 25 a 39,Non indicato,This Sangiovese hits the palate in a very direct and determined manner because of the biting acidity and high acidity that will make your mouth pucker. At the back are tones of bitter cherry and unripe plum.,2.59
39,Di Filippo 2012  Montefalco Rosso,Di Filippo,Italia centrale,Montefalco Rosso,Red Blend,2012,90,90-94 Ottimo,18.0,2. Da 15 a 24,Kerin O'Keefe,"Made with organically farmed grapes, this blend of 60% Sangiovese, 30% Barbera and 10% Sagrantino opens with aromas of tilled earth, blue flower, ripe berry and spice. The dense palate doles out fleshy black cherry, crushed plum, black pepper and tobacco along",5.0
40,Dionigi 2010  Montefalco Rosso,Dionigi,Italia centrale,Montefalco Rosso,Red Blend,2010,87,87-89 Molto buono,20.0,2. Da 15 a 24,Kerin O'Keefe,"This blend of Sangiovese, Merlot and Sagrantino offers rustic, almost funky but not unpleasant aromas of tilled soil, toast, meat juice and truffle. The palate opens with delicious black cherry, raspberry and clove flavors, along with notes of well-integrated ",4.35
41,Domodimonti 2008 Il Messia Red (Marche),Domodimonti,Italia centrale,Marche,Red Blend,2008,88,87-89 Molto buono,25.0,3. Da 25 a 39,Non indicato,"A plump blend of 50% Merlot and 50% Monte­pulciano, this opens with a sweet cherry flavor, followed by notes of tobacco, leather and cola. Pair this with pork sausages.",3.52
42,Drei Donà Tenuta La Palazza 2005 Il Tornese Chardonnay (Emilia-Romagna),Drei Donà Tenuta La Palazza,Italia centrale,Emilia-Romagna,Chardonnay,2005,89,87-89 Molto buono,27.0,3. Da 25 a 39,Non indicato,"This sophisticated Chardonnay offers pretty fullness, opulence and gorgeous luminosity in the glass. Its fruit-forward aromas include ripe peach, almond, butter and pineapple but the wine also has an interesting edge that recalls mint or peppermint. The mouthf",3.3
43,Falesco 2012 Vitiano Red (Umbria),Falesco,Italia centrale,Umbria,Red Blend,2012,87,87-89 Molto buono,12.0,1. Sotto 15,Kerin O'Keefe,"This blend of equal parts Merlot, Sangiovese and Cabernet Sauvignon opens with a black fruit aromas and a whiff of toasted oak. The palate delivers ripe plum and black cherry flavors, with a coffee bean accent, presented in a forward and ready-to-drink style.",7.25
44,Fattoria Laila 2010 Lailum  (Rosso Piceno),Fattoria Laila,Italia centrale,Rosso Piceno,Red Blend,2010,84,80-86 Buono,22.0,2. Da 15 a 24,Kerin O'Keefe,"New oak takes the limelight in this blend of 90% Montepulciano and 10% Sangiovese. The palate is dominated by wood, espresso, toast and vanilla alongside rubber, leafy sensations. It lacks fruit richness and has a drying, astringent finish.",3.82
45,Fattoria Zerbina 2015 Bianco di Ceparano Albana (Romagna),Fattoria Zerbina,Italia centrale,Romagna,Albana,2015,88,87-89 Molto buono,20.0,2. Da 15 a 24,Kerin O'Keefe,"Delicate scents of ripe orchard fruit, acacia and a whiff of honey guide the nose while the round palate offers apricot, yellow pear and a hint of pineapple. A light almond note closes the finish.",4.4
46,Fazi Battaglia 2001 San Sisto Riserva  (Verdicchio dei Castelli di Jesi Classico),Fazi Battaglia,Italia centrale,Verdicchio dei Castelli di Jesi Classico,Verdicchio,2001,90,90-94 Ottimo,30.0,3. Da 25 a 39,Non indicato,"From a historic producer who has done much work to promote Verdicchio and the Marche region around the world, San Sisto is among the most sophisticated expressions of the variety. Matured in barrel, the deeply golden colored and saturated wine is redolent of v",3.0
47,Feudo Antico 2008 Tullum Red (Abruzzo),Feudo Antico,Italia centrale,Abruzzo,Red Blend,2008,91,90-94 Ottimo,22.0,2. Da 15 a 24,Non indicato,"This hearty red wine from central Italy would pair well with grilled meat or veal wrapped in sage leaves and sliced prosciutto ham. Loads of red berries are followed by notes of exotic spice, leather, tobacco and firm tannins. Drink in 3-5 more years.",4.14
48,Fratelli Bucci 2007  Verdicchio dei Castelli di Jesi Classico Superiore,Fratelli Bucci,Italia centrale,Verdicchio dei Castelli di Jesi Classico Superiore,Verdicchio,2007,86,80-86 Buono,26.0,3. Da 25 a 39,Non indicato,"Fresh, zippy and vibrant in the mouth, Bucci's cheerful Verdicchio proves to be an informal, no-fuss white with a good balance between fruit and acidity. The aromas recall citrus, fresh flowers and white stone.",3.31
49,Garofoli 2007 Macrina  (Verdicchio dei Castelli di Jesi Classico Superiore),Garofoli,Italia centrale,Verdicchio dei Castelli di Jesi Classico Superiore,Verdicchio,2007,86,80-86 Buono,15.0,2. Da 15 a 24,Non indicato,"Light in approach and consistency, this is a fresh, easygoing white wine from central Italy that can be consumed at informal occasions such as with appetizers or at an outdoor barbecue. The aromas recall lime, green melon and sweet basil.",5.73
50,Garofoli 2010 Serra Fiorese Riserva  (Verdicchio dei Castelli di Jesi Classico),Garofoli,Italia centrale,Verdicchio dei Castelli di Jesi Classico,Verdicchio,2010,88,87-89 Molto buono,30.0,3. Da 25 a 39,Kerin O'Keefe,"Aged in barriques, this deeply hued yellow-gold wine opens with aromas of toasted oak, dried citrus and aromatic herb. The lean, somewhat evolved palate offers pink grapefruit, mineral, almond and oak-driven spice. Drink soon.",2.93
51,Garofoli 2014 Macrina  (Verdicchio dei Castelli di Jesi Classico Superiore),Garofoli,Italia centrale,Verdicchio dei Castelli di Jesi Classico Superiore,Verdicchio,2014,87,87-89 Molto buono,15.0,2. Da 15 a 24,Kerin O'Keefe,"This zesty, straightforward white offers aromas of Spanish broom and acacia flower while the bright palate offers golden delicious apple and citrus. A pleasant note of bitter almond backs up the finish.",5.8
52,Il Pollenza 2007 Red (Marche),Il Pollenza,Italia centrale,Marche,Red Blend,2007,90,90-94 Ottimo,57.0,4. Da 40 a 74,Non indicato,"This blend of Merlot, Petit Verdot, Cabernet Sauvignon and Cabernet Franc opens with jammy, almost impenetrable aromas of blackberry, maraschino cherry, pipe tobacco and dark chocolate. ""Huge"" is the operative word.",1.58
53,Illuminati Dino 2007 Lumen Riserva Red (Controguerra),Illuminati Dino,Italia centrale,Controguerra,Red Blend,2007,92,90-94 Ottimo,70.0,4. Da 40 a 74,Non indicato,"This high-end blend of Montepulciano (70%) and Cabernet Sauvignon shows the best of winemaking in Abruzzo. This is a poised and confident wine, with defined aromas of ripe blackberry, leather and polished mineral. The tannins are plush and velvety; and the win",1.31
54,Illuminati Dino 2007 Daniele White (Controguerra),Illuminati Dino,Italia centrale,Controguerra,White Blend,2007,88,87-89 Molto buono,36.0,3. Da 25 a 39,Non indicato,"A luminous blend of Trebbiano d'Abruzzo (60%), Passerina and Chardonnay, this deeply golden wine has a slightly oxidized touch of butterscotch and crème brûlée behind apricot, mature melon and candied fruit. If you like this style, you could pair this wine wit",2.44
55,Illuminati Dino 2011 Costalupo White (Controguerra),Illuminati Dino,Italia centrale,Controguerra,White Blend,2011,87,87-89 Molto buono,12.0,1. Sotto 15,Non indicato,"A blend of Trebbiano, Passerina and Chardonnay, this offers aromas of cut grass, citrus, lemon zest, creamy vanilla and peach. The fresh acidity makes this a perfect match for crab legs and butter sauce.",7.25
56,Illuminati Dino 2015 Spiano  (Montepulciano d'Abruzzo),Illuminati Dino,Italia centrale,Montepulciano d'Abruzzo,Montepulciano,2015,86,80-86 Buono,17.0,2. Da 15 a 24,Kerin O'Keefe,"Violet, dark-skinned berry and chopped herb aromas lift out of the glass. The lean firm palate offers dried sour cherry and a hint of spice but not much fruit richness while bracing, drying tannins leave an astringent finish.",5.06
57,Illuminati Dino 2015 Riparosso  (Montepulciano d'Abruzzo),Illuminati Dino,Italia centrale,Montepulciano d'Abruzzo,Montepulciano,2015,86,80-86 Buono,16.0,2. Da 15 a 24,Kerin O'Keefe,"Aromas of spiced plum, purple flower, leather and truffle lead the nose on this informal wine. The solid palate offers dried cherry and a hint of licorice alongside grippy tannins that clench the finish.",5.38
58,Inalto 2009  Montepulciano d'Abruzzo,Inalto,Italia centrale,Montepulciano d'Abruzzo,Montepulciano,2009,86,80-86 Buono,15.0,2. Da 15 a 24,Non indicato,"Inalto's Montepulciano d'Abruzzo shows soft, almost sweet tones of ripe fruit, plum cake and honey-covered almond. It's simple and tight in the mouth with a fresh, clean close.",5.73
59,La Carraia 2009 Poggio Calvelli  (Orvieto Classico Superiore),La Carraia,Italia centrale,Orvieto Classico Superiore,White Blend,2009,87,87-89 Molto buono,16.0,2. Da 15 a 24,Non indicato,"Poggio Calvelli opens with thick aromas of ripe fruit and apricot. However, the mouthfeel is thinner and less intense with an easy, but crisp fruity feel.",5.44
60,La Carraia 2010 Tizzonero Red (Umbria),La Carraia,Italia centrale,Umbria,Red Blend,2010,88,87-89 Molto buono,14.0,1. Sotto 15,Kerin O'Keefe,"A delicious blend of Montepulciano and Sangiovese, this opens with earthy aromas of freshly turned soil, black fruit and underbrush. The palate delivers flavors of juicy plum and black cherry, all laced with tobacco, clove and nutmeg and presented in a broodin",6.29
61,La Staffa 2014  Verdicchio dei Castelli di Jesi Classico Superiore,La Staffa,Italia centrale,Verdicchio dei Castelli di Jesi Classico Superiore,Verdicchio,2014,85,80-86 Buono,12.0,1. Sotto 15,Kerin O'Keefe,"This has light floral aromas of dried chamomile and acacia flower. The palate is lean and not very expressive, offering bitter almond and yellow apple skin alongside brisk acidity.",7.08
62,Lamborghini 2004 Torami Red (Umbria),Lamborghini,Italia centrale,Umbria,Red Blend,2004,90,90-94 Ottimo,35.0,3. Da 25 a 39,Non indicato,"The Lamborghini family makes some of the best wines you'll find from Umbria and this juicy, rich and beautifully extracted blend of Cabernet, Sangiovese and Montepulciano is a prime example. The wine is succulent and attractive on all levels and its aromas of ",2.57
63,Le Corti dei Farfensi 2012 Curtes Pecorino (Falerio),Le Corti dei Farfensi,Italia centrale,Falerio,Pecorino,2012,85,80-86 Buono,13.0,1. Sotto 15,Kerin O'Keefe,"Made from the native Pecorino grape, this has pretty floral aromas that mingle with bright sensations of tropical fruit and citrus. It's simple but well constructed and enjoyable.",6.54
64,Marcella Giuliani 2010 Alagna Superiore  (Cesanese del Piglio),Marcella Giuliani,Italia centrale,Cesanese del Piglio,Cesanese d'Affile,2010,87,87-89 Molto buono,18.0,2. Da 15 a 24,Non indicato,"Made with organically farmed fruit, this opens with dark aromas of licorice, plum, coffee and blackberry. It shows tight tannins and some astringency on the finish.",4.83
65,Marchesi Antinori 2006 Muffato della Sala White (Umbria),Marchesi Antinori,Italia centrale,Umbria,White Blend,2006,91,90-94 Ottimo,375.0,5. 75 e oltre,Non indicato,"You can smell those distinctive notes from the muffa nobile, or botrytis, that has shaped a deep and layered wine with notes of peach fuzz, candied fruit, apricot and white almond. The wine is sweet, but not exaggeratedly so, and has a bright, elegant mouthfee",0.24
66,Marchesi Antinori 2008 Muffato della Sala White (Umbria),Marchesi Antinori,Italia centrale,Umbria,White Blend,2008,90,90-94 Ottimo,60.0,4. Da 40 a 74,Kerin O'Keefe,"Made from grapes that have been exposed to muffa nobile or botrytis, this lovely dessert wine boasts sensations of candied fruit, dried apricot, almond and ripe yellow peach. The rich flavors are balanced with freshness, making it an ideal meditation wine to s",1.5
67,Marchesi Antinori 2012 Bramìto del Cervo Chardonnay (Umbria),Marchesi Antinori,Italia centrale,Umbria,Chardonnay,2012,88,87-89 Molto buono,20.0,2. Da 15 a 24,Kerin O'Keefe,"This 100% Chardonnay, from Antinori's Castello della Sala estate, opens with aromas of Golden Delicious apples, vanilla and a whiff of oak. The palate delivers creamy apple and juicy lemon flavors, with notes of well-integrated oak. Despite the richness, it's ",4.4
68,Marchetti 2014 Tenuta del Cavaliere  (Verdicchio dei Castelli di Jesi Classico Superiore),Marchetti,Italia centrale,Verdicchio dei Castelli di Jesi Classico Superiore,Verdicchio,2014,87,87-89 Molto buono,18.0,2. Da 15 a 24,Kerin O'Keefe,"This opens with subdued aromas that recall yellow flower, toasted nut and a whiff of citrus. The rather lean but quenching palate offers lemon zest, white almond and a hint of mineral alongside zesty acidity.",4.83
69,Milziade Antano 2010 Colleallodole  (Montefalco Sagrantino),Milziade Antano,Italia centrale,Montefalco Sagrantino,Sagrantino,2010,96,95-100 Eccezionale,80.0,5. 75 e oltre,Kerin O'Keefe,"Rich and concentrated, this gorgeous, terroir-driven wine opens with aromas of crushed blue flower, graphite, plum and pipe tobacco. The powerful but weightless palate weaves together ripe black cherry, blackberry, clove, black pepper and mineral while velvety",1.2
70,Milziade Antano 2012  Montefalco Rosso,Milziade Antano,Italia centrale,Montefalco Rosso,Red Blend,2012,93,90-94 Ottimo,20.0,2. Da 15 a 24,Kerin O'Keefe,"A blend of 70% Sangiovese, 15% Sagrantino and 15% Merlot, this bold wine conveys earthy aromas of blackberry, leather, tilled soil and a balsamic note. The ripe, creamy palate delivers juicy black plum, cassis, savory herb and baking spice balanced by smooth, ",4.65
